time,open,high,low,close,Volume,Volume MA
-459599400,39.009998,39.009998,39.009998,39.009998,2960000,2363000
-459513000,39.25,39.25,39.25,39.25,2470000,2345000
-459253800,39.619999,39.619999,39.619999,39.619999,2770000,2390500
-459167400,39.669998,39.669998,39.669998,39.669998,2860000,2425500
-459081000,39.889999,39.889999,39.889999,39.889999,2650000,2463000
-458994600,39.959999,39.959999,39.959999,39.959999,2760000,2500500
-458908200,40.099998,40.099998,40.099998,40.099998,2340000,2498500
-458649000,40.139999,40.139999,40.139999,40.139999,2490000,2511000
-458562600,40.509998,40.509998,40.509998,40.509998,2720000,2552000
-458476200,40.599998,40.599998,40.599998,40.599998,3010000,2620000
-458389800,40.75,40.75,40.75,40.75,2900000,2660000
-458303400,40.959999,40.959999,40.959999,40.959999,2410000,2667500
-458044200,40.990002,40.990002,40.990002,40.990002,2250000,2669000
-457957800,40.77,40.77,40.77,40.77,2180000,2678500
-457871400,40.790001,40.790001,40.790001,40.790001,2180000,2662000
-457785000,41.029999,41.029999,41.029999,41.029999,2370000,2650000
-457698600,41.189999,41.189999,41.189999,41.189999,2540000,2647500
-457353000,41.689999,41.689999,41.689999,41.689999,2680000,2653500
-457266600,43.18,43.18,43.18,43.18,3140000,2649000
-457180200,42.580002,42.580002,42.580002,42.580002,3300000,2649000
-457093800,42.639999,42.639999,42.639999,42.639999,2450000,2623500
-456834600,42.75,42.75,42.75,42.75,2420000,2621000
-456748200,42.75,42.75,42.75,42.75,2630000,2614000
-456661800,42.240002,42.240002,42.240002,42.240002,2360000,2589000
-456575400,42.25,42.25,42.25,42.25,1980000,2555500
-456489000,42.400002,42.400002,42.400002,42.400002,2230000,2529000
-456229800,42.360001,42.360001,42.360001,42.360001,2160000,2520000
-456143400,42.099998,42.099998,42.099998,42.099998,2300000,2510500
-456057000,42.23,42.23,42.23,42.23,2080000,2478500
-455970600,42.639999,42.639999,42.639999,42.639999,2530000,2454500
-455884200,43,43,43,43,2500000,2434500
-455625000,43.48,43.48,43.48,43.48,2500000,2439000
-455538600,43.580002,43.580002,43.580002,43.580002,2340000,2443500
-455452200,43.759998,43.759998,43.759998,43.759998,2170000,2443000
-455365800,43.5,43.5,43.5,43.5,2090000,2438500
-455279400,43.52,43.52,43.52,43.52,2070000,2423500
-455020200,42.93,42.93,42.93,42.93,2190000,2406000
-454933800,43.029999,43.029999,43.029999,43.029999,2260000,2385000
-454847400,43.09,43.09,43.09,43.09,2190000,2337500
-454761000,42.360001,42.360001,42.360001,42.360001,2210000,2283000
-454674600,42.560001,42.560001,42.560001,42.560001,1690000,2245000
-454415400,42.310001,42.310001,42.310001,42.310001,1730000,2210500
-454329000,41.75,41.75,41.75,41.75,2240000,2191000
-454242600,41.740002,41.740002,41.740002,41.740002,1580000,2152000
-454156200,42.130001,42.130001,42.130001,42.130001,1620000,2134000
-454069800,42.209999,42.209999,42.209999,42.209999,1530000,2099000
-453810600,42.169998,42.169998,42.169998,42.169998,1230000,2052500
-453724200,41.860001,41.860001,41.860001,41.860001,1520000,2013500
-453637800,41.900002,41.900002,41.900002,41.900002,1570000,1988000
-453551400,41.84,41.84,41.84,41.84,1560000,1939500
-453465000,42.02,42.02,42.02,42.02,1400000,1884500
-453205800,41.98,41.98,41.98,41.98,1430000,1831000
-453119400,42.549999,42.549999,42.549999,42.549999,1890000,1808500
-453033000,42.610001,42.610001,42.610001,42.610001,2140000,1807000
-452946600,42.799999,42.799999,42.799999,42.799999,2120000,1808500
-452860200,42.990002,42.990002,42.990002,42.990002,2200000,1815000
-452601000,42.959999,42.959999,42.959999,42.959999,1910000,1801000
-452514600,42.919998,42.919998,42.919998,42.919998,1740000,1775000
-452428200,43.18,43.18,43.18,43.18,1850000,1758000
-452341800,43.369999,43.369999,43.369999,43.369999,1860000,1740500
-452255400,43.599998,43.599998,43.599998,43.599998,1700000,1741000
-451909800,43.860001,43.860001,43.860001,43.860001,2360000,1772500
-451823400,43.849998,43.849998,43.849998,43.849998,2380000,1779500
-451737000,43.880001,43.880001,43.880001,43.880001,2470000,1824000
-451650600,43.889999,43.889999,43.889999,43.889999,2480000,1867000
-451391400,44.189999,44.189999,44.189999,44.189999,2520000,1916500
-451305000,44.799999,44.799999,44.799999,44.799999,2580000,1984000
-451218600,44.990002,44.990002,44.990002,44.990002,2570000,2036500
-451132200,44.75,44.75,44.75,44.75,2890000,2102500
-451045800,45.09,45.09,45.09,45.09,2540000,2151500
-450786600,45.16,45.16,45.16,45.16,2390000,2201000
-450700200,45.130001,45.130001,45.130001,45.130001,2090000,2234000
-450613800,45.389999,45.389999,45.389999,45.389999,2460000,2262500
-450527400,45.389999,45.389999,45.389999,45.389999,2550000,2283000
-450441000,45.630001,45.630001,45.630001,45.630001,2540000,2304000
-450181800,42.610001,42.610001,42.610001,42.610001,7720000,2580000
-450095400,43.580002,43.580002,43.580002,43.580002,5500000,2759500
-450009000,44.310001,44.310001,44.310001,44.310001,3780000,2861500
-449922600,44.029999,44.029999,44.029999,44.029999,2560000,2897000
-449836200,43.669998,43.669998,43.669998,43.669998,2140000,2911000
-449577000,42.490002,42.490002,42.490002,42.490002,2720000,2962000
-449490600,42.82,42.82,42.82,42.82,2020000,2945000
-449404200,42.990002,42.990002,42.990002,42.990002,1920000,2922000
-449317800,42.700001,42.700001,42.700001,42.700001,1690000,2883000
-449231400,42.380001,42.380001,42.380001,42.380001,2150000,2866500
-448972200,41.150002,41.150002,41.150002,41.150002,3100000,2895500
-448885800,40.799999,40.799999,40.799999,40.799999,3590000,2946000
-448799400,41.52,41.52,41.52,41.52,1900000,2912500
-448713000,41.389999,41.389999,41.389999,41.389999,1980000,2867000
-448626600,41.220001,41.220001,41.220001,41.220001,1640000,2822000
-448367400,41.349998,41.349998,41.349998,41.349998,1480000,2776500
-448281000,41.650002,41.650002,41.650002,41.650002,1550000,2749500
-448194600,42.07,42.07,42.07,42.07,1760000,2714500
-448108200,42.59,42.59,42.59,42.59,2160000,2695000
-448021800,42.59,42.59,42.59,42.59,1710000,2653500
-447762600,42.91,42.91,42.91,42.91,1820000,2358500
-447676200,42.630001,42.630001,42.630001,42.630001,1950000,2181000
